2013/10/18 10:34:46 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:34:46 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = PC20167 
2013/10/18 10:34:46 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2013/10/18 10:34:47 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2013/10/18 10:34:47 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2013/10/18 10:34:47 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2013/10/18 10:34:47 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:34:47 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:34:47 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 10:35:17 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 10:35:17 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 10:35:17 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 10:35:17 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:35:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:35:17 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:35:17 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 10:35:33 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 10:35:33 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 10:35:33 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 10:35:33 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:35:33 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:35:33 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:35:33 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 10:37:21 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 10:37:21 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 10:37:21 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 10:37:21 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 10:37:21 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 10:37:21 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 10:37:21 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 10:37:21 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 10:37:21 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:37:22 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:37:22 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:37:22 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 10:50:53 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 10:50:53 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 10:50:53 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 10:50:53 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:50:53 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:50:53 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:50:53 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 10:51:25 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 10:51:25 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 10:51:25 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 10:51:25 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 10:51:25 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 10:51:25 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 10:51:25 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 11:13:34 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 11:13:34 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 11:13:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 11:13:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 11:13:35 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 11:13:35 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 11:13:35 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 11:13:35 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
